Date [YYYY-MM],Temperature [°C],QCFLAG
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,15.7,U
2001-07,14.0,U
2001-08,13.4,U
2001-09,7.28,U
2001-10,-3.47,U
2001-11,-17.66,U
2001-12,-22.58,U
2002-01,-14.16,U
2002-02,-14.37,U
2002-03,-10.63,U
2002-04,-3.21,U
2002-05,8.28,U
2002-06,12.46,U
2002-07,14.92,U
2002-08,12.04,U
2002-09,7.58,U
2002-10,1.1,U
2002-11,-5.09,U
2002-12,, 
2003-01,, 
2003-02,-6.13,U
2003-03,-8.22,U
2003-04,1.23,U
2003-05,7.09,U
2003-06,12.42,U
2003-07,15.48,U
2003-08,12.03,U
2003-09,5.93,U
2003-10,0.07,U
2003-11,-13.0,U
2003-12,, 
2004-01,-23.11,U
2004-02,-11.13,U
2004-03,-8.23,U
2004-04,2.38,U
2004-05,10.32,U
2004-06,15.33,U
2004-07,15.34,U
2004-08,15.1,U
2004-09,3.85,U
2004-10,-1.07,U
2004-11,-10.72,U
2004-12,-15.01,U
2005-01,-19.31,U
2005-02,-12.6,U
2005-03,-2.62,U
2005-04,3.26,U
2005-05,8.93,U
2005-06,13.52,U
2005-07,13.7,U
2005-08,13.48,U
2005-09,7.73,U
2005-10,-2.19,U
2005-11,-15.34,U
2005-12,-14.98,U
2006-01,, 
2006-02,-15.22,U
2006-03,-10.51,U
2006-04,0.33,U
2006-05,, 
2006-06,12.24,U
2006-07,14.55,U
2006-08,10.92,U
2006-09,7.27,U
2006-10,0.24,U
2006-11,-21.48,U
2006-12,-14.62,U
2007-01,-15.79,U
2007-02,-16.19,U
2007-03,-14.96,U
2007-04,1.7,U
2007-05,7.17,U
2007-06,13.97,U
2007-07,14.79,U
2007-08,13.58,U
2007-09,7.27,U
2007-10,-2.4,U
2007-11,-9.32,U
2007-12,-17.02,U
2008-01,-19.76,U
2008-02,-16.21,U
2008-03,-5.03,U
2008-04,0.07,U
2008-05,7.17,U
2008-06,11.32,U
2008-07,12.36,U
2008-08,11.38,U
2008-09,6.55,U
2008-10,-5.67,U
2008-11,-14.04,U
2008-12,-21.64,U
2009-01,-18.1,U
2009-02,-15.61,U
2009-03,-9.91,U
2009-04,0.71,U
2009-05,7.94,U
2009-06,12.33,U
2009-07,16.64,U
2009-08,11.65,U
2009-09,7.1,U
2009-10,0.02,U
2009-11,-16.15,U
2009-12,-17.73,U
2010-01,-20.1,U
2010-02,-10.78,U
2010-03,-5.38,U
2010-04,1.5,U
2010-05,9.25,U
2010-06,11.92,U
2010-07,13.72,U
2010-08,13.57,U
2010-09,7.62,U
2010-10,-1.71,U
2010-11,-9.47,U
2010-12,-23.89,U
2011-01,-17.9,U
2011-02,-16.45,U
2011-03,-9.8,U
2011-04,1.45,U
2011-05,8.44,U
2011-06,13.15,U
2011-07,14.55,U
2011-08,11.36,U
2011-09,7.46,U
2011-10,-1.3,U
2011-11,-18.07,U
2011-12,-11.62,U
2012-01,-23.44,U
2012-02,-9.78,U
2012-03,-9.09,U
2012-04,3.48,U
2012-05,6.35,U
2012-06,11.89,U
2012-07,13.32,U
2012-08,11.75,U
2012-09,7.19,U
2012-10,-4.12,U
2012-11,-17.74,U
2012-12,-21.72,U
2013-01,-13.59,U
2013-02,-10.75,U
2013-03,-8.91,U
2013-04,-4.67,U
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2014-01,-8.68,U
2014-02,-19.35,U
2014-03,-7.29,U
2014-04,0.5,U
2014-05,9.22,U
2014-06,10.73,U
2014-07,14.12,U
2014-08,12.16,U
2014-09,6.78,U
2014-10,, 
2014-11,, 
2014-12,, 
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,1.35,U
2015-05,10.37,U
2015-06,13.96,U
2015-07,15.12,U
2015-08,11.71,U
2015-09,5.85,U
2015-10,, 
2015-11,, 
2015-12,, 
2016-01,-14.01,U
2016-02,-11.03,U
2016-03,-3.23,U
2016-04,4.18,U
2016-05,9.54,U
2016-06,13.76,U
2016-07,16.33,U
2016-08,13.8,U
2016-09,7.41,U
2016-10,-4.78,U
2016-11,-14.92,U
2016-12,, 
2017-01,, 
2017-02,, 
2017-03,-10.75,U
2017-04,3.11,U
2017-05,7.08,U
2017-06,14.33,U
2017-07,16.01,U
2017-08,12.96,U
2017-09,7.55,U
2017-10,-0.99,U
2017-11,-15.3,U
2017-12,, 
2018-01,, 
2018-02,, 
2018-03,-7.6,U
2018-04,0.81,U
2018-05,6.51,U
2018-06,12.71,U
2018-07,15.89,U
2018-08,12.78,U
2018-09,, 
2018-10,, 
2018-11,, 
2018-12,, 
2019-01,-19.12,U
2019-02,-15.39,U
2019-03,-2.26,U
2019-04,2.15,U
2019-05,8.96,U
2019-06,15.12,U
2019-07,17.73,U
2019-08,13.36,U
2019-09,8.51,U
2019-10,-0.91,U
2019-11,-7.81,U
2019-12,-16.23,U
2020-01,-24.03,U
2020-02,-14.19,U
2020-03,-10.2,U
2020-04,-0.32,U
2020-05,9.35,U
2020-06,11.55,U
2020-07,14.86,U
2020-08,12.96,U
2020-09,6.9,U
2020-10,-3.33,U
2020-11,-16.39,U
2020-12,-16.56,U
2021-01,-17.22,U
2021-02,-18.59,U
2021-03,-12.05,U
2021-04,-0.88,U
2021-05,7.04,U
2021-06,13.26,U
2021-07,14.97,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
