,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-18.36,k
1,1950-02,-20.57,k
2,1950-03,-14.01,k
3,1950-04,-12.03,k
4,1950-05,0.04,k
5,1950-06,6.65,k
6,1950-07,9.01,k
7,1950-08,7.17,k
8,1950-09,2.29,k
9,1950-10,-4.99,k
10,1950-11,-7.93,k
11,1950-12,-8.12,k
12,1951-01,-14.0,k
13,1951-02,-20.38,k
14,1951-03,-15.44,k
15,1951-04,-10.17,k
16,1951-05,1.92,k
17,1951-06,7.16,k
18,1951-07,7.95,k
19,1951-08,6.69,k
20,1951-09,3.8,k
21,1951-10,-6.56,k
22,1951-11,-5.68,k
23,1951-12,-14.49,k
24,1952-01,-15.39,k
25,1952-02,-16.38,k
26,1952-03,-18.5,k
27,1952-04,-9.14,k
28,1952-05,0.68,k
29,1952-06,6.18,k
30,1952-07,8.06,k
31,1952-08,7.39,k
32,1952-09,3.62,k
33,1952-10,-3.17,k
34,1952-11,-5.26,k
35,1952-12,-7.28,k
36,1953-01,-12.61,k
37,1953-02,, 
38,1953-03,-17.95,k
39,1953-04,-4.11,k
40,1953-05,1.7,k
41,1953-06,4.2,k
42,1953-07,8.1,k
43,1953-08,6.74,k
44,1953-09,1.38,k
45,1953-10,-6.3,k
46,1953-11,-10.52,k
47,1953-12,-17.22,k
48,1954-01,-10.42,k
49,1954-02,-16.85,k
50,1954-03,-11.01,k
51,1954-04,-4.64,k
52,1954-05,2.54,k
53,1954-06,5.2,k
54,1954-07,6.42,k
55,1954-08,6.98,k
56,1954-09,1.79,k
57,1954-10,-4.2,k
58,1954-11,-8.28,k
59,1954-12,-14.91,k
60,1955-01,-19.6,k
61,1955-02,-11.95,k
62,1955-03,-10.89,k
63,1955-04,-13.61,k
64,1955-05,-0.16,k
65,1955-06,6.45,k
66,1955-07,6.14,k
67,1955-08,4.84,k
68,1955-09,1.3,k
69,1955-10,-1.62,k
70,1955-11,-7.95,k
71,1955-12,-12.24,k
72,1956-01,-18.42,k
73,1956-02,-13.0,k
74,1956-03,-12.92,k
75,1956-04,-5.98,k
76,1956-05,-1.09,k
77,1956-06,4.18,k
78,1956-07,7.41,k
79,1956-08,7.1,k
80,1956-09,0.11,k
81,1956-10,-4.48,k
82,1956-11,-10.63,k
83,1956-12,-15.21,k
84,1957-01,-17.96,k
85,1957-02,-16.01,k
86,1957-03,-14.15,k
87,1957-04,-9.06,k
88,1957-05,0.92,k
89,1957-06,7.49,k
90,1957-07,9.56,k
91,1957-08,7.74,k
92,1957-09,4.0,k
93,1957-10,-5.17,k
94,1957-11,-7.97,k
95,1957-12,, 
96,1958-01,-15.32,k
97,1958-02,-11.88,k
98,1958-03,-12.57,k
99,1958-04,-9.39,k
100,1958-05,1.69,k
101,1958-06,6.39,k
102,1958-07,8.98,k
103,1958-08,5.55,k
104,1958-09,1.45,k
105,1958-10,-4.28,k
106,1958-11,-10.79,k
107,1958-12,-8.57,k
108,1959-01,-8.84,k
109,1959-02,-16.03,k
110,1959-03,-20.35,k
111,1959-04,-8.74,k
112,1959-05,2.03,k
113,1959-06,5.95,k
114,1959-07,8.03,k
115,1959-08,5.78,k
116,1959-09,1.64,k
117,1959-10,-2.47,k
118,1959-11,-6.62,k
119,1959-12,-13.58,k
120,1960-01,-10.76,k
121,1960-02,-11.38,k
122,1960-03,-17.07,k
123,1960-04,-11.26,k
124,1960-05,0.63,k
125,1960-06,6.46,k
126,1960-07,11.01,k
127,1960-08,9.75,k
128,1960-09,2.07,k
129,1960-10,2.6,k
130,1960-11,-5.23,k
131,1960-12,-10.29,k
132,1961-01,-11.78,k
133,1961-02,-21.71,k
134,1961-03,-20.81,k
135,1961-04,-9.75,k
136,1961-05,0.49,k
137,1961-06,6.97,k
138,1961-07,9.04,k
139,1961-08,7.57,k
140,1961-09,1.93,k
141,1961-10,-3.87,k
142,1961-11,-9.18,k
143,1961-12,-9.0,k
144,1962-01,-11.05,k
145,1962-02,-14.96,k
146,1962-03,-6.07,k
147,1962-04,-4.61,k
148,1962-05,1.65,k
149,1962-06,5.11,k
150,1962-07,8.53,k
151,1962-08,6.22,k
152,1962-09,1.47,k
153,1962-10,-4.25,k
154,1962-11,-6.53,k
155,1962-12,-9.45,k
156,1963-01,-6.49,k
157,1963-02,-5.89,k
158,1963-03,-12.96,k
159,1963-04,-4.96,k
160,1963-05,-1.87,k
161,1963-06,3.91,k
162,1963-07,6.84,k
163,1963-08,7.28,k
164,1963-09,0.85,k
165,1963-10,-5.59,k
166,1963-11,-9.03,k
167,1963-12,-7.57,k
168,1964-01,-10.05,k
169,1964-02,-8.73,k
